file,class_id,label
00002.jpg,0,Cicadellidae
00003.jpg,0,Cicadellidae
00005.jpg,0,Cicadellidae
00006.jpg,0,Cicadellidae
00008.jpg,0,Cicadellidae
00011.jpg,0,Cicadellidae
00015.jpg,0,Cicadellidae
00017.jpg,0,Cicadellidae
00018.jpg,0,Cicadellidae
00019.jpg,0,Cicadellidae
00020.jpg,0,Cicadellidae
00021.jpg,0,Cicadellidae
00022.jpg,0,Cicadellidae
00024.jpg,0,Cicadellidae
00025.jpg,0,Cicadellidae
00027.jpg,0,Cicadellidae
00028.jpg,0,Cicadellidae
00029.jpg,0,Cicadellidae
00030.jpg,0,Cicadellidae
00031.jpg,0,Cicadellidae
00032.jpg,0,Cicadellidae
00033.jpg,0,Cicadellidae
00037.jpg,0,Cicadellidae
00038.jpg,0,Cicadellidae
00040.jpg,0,Cicadellidae
00041.jpg,0,Cicadellidae
00042.jpg,0,Cicadellidae
00043.jpg,0,Cicadellidae
00045.jpg,0,Cicadellidae
00047.jpg,0,Cicadellidae
00048.jpg,0,Cicadellidae
00050.jpg,0,Cicadellidae
00052.jpg,0,Cicadellidae
00053.jpg,0,Cicadellidae
00055.jpg,0,Cicadellidae
00056.jpg,0,Cicadellidae
00057.jpg,0,Cicadellidae
00060.jpg,0,Cicadellidae
00062.jpg,0,Cicadellidae
00064.jpg,0,Cicadellidae
00065.jpg,0,Cicadellidae
00068.jpg,0,Cicadellidae
00069.jpg,0,Cicadellidae
00072.jpg,0,Cicadellidae
00073.jpg,0,Cicadellidae
00074.jpg,0,Cicadellidae
00076.jpg,0,Cicadellidae
00077.jpg,0,Cicadellidae
00078.jpg,0,Cicadellidae
00080.jpg,0,Cicadellidae
00081.jpg,0,Cicadellidae
00083.jpg,0,Cicadellidae
00084.jpg,0,Cicadellidae
00085.jpg,0,Cicadellidae
00086.jpg,0,Cicadellidae
00087.jpg,0,Cicadellidae
00088.jpg,0,Cicadellidae
00089.jpg,0,Cicadellidae
00091.jpg,0,Cicadellidae
00092.jpg,0,Cicadellidae
00093.jpg,0,Cicadellidae
00095.jpg,0,Cicadellidae
00096.jpg,0,Cicadellidae
00098.jpg,0,Cicadellidae
00099.jpg,0,Cicadellidae
00101.jpg,0,Cicadellidae
00102.jpg,0,Cicadellidae
00104.jpg,0,Cicadellidae
00106.jpg,0,Cicadellidae
00109.jpg,0,Cicadellidae
00110.jpg,0,Cicadellidae
00113.jpg,0,Cicadellidae
00115.jpg,0,Cicadellidae
00116.jpg,0,Cicadellidae
00126.jpg,0,Cicadellidae
00128.jpg,0,Cicadellidae
00129.jpg,0,Cicadellidae
00130.jpg,0,Cicadellidae
00131.jpg,0,Cicadellidae
00133.jpg,0,Cicadellidae
00138.jpg,0,Cicadellidae
00141.jpg,0,Cicadellidae
00145.jpg,0,Cicadellidae
00146.jpg,0,Cicadellidae
00147.jpg,0,Cicadellidae
00148.jpg,0,Cicadellidae
00149.jpg,0,Cicadellidae
00151.jpg,0,Cicadellidae
00155.jpg,0,Cicadellidae
00156.jpg,0,Cicadellidae
00157.jpg,0,Cicadellidae
00159.jpg,0,Cicadellidae
00160.jpg,0,Cicadellidae
00161.jpg,0,Cicadellidae
00163.jpg,0,Cicadellidae
00164.jpg,0,Cicadellidae
00165.jpg,0,Cicadellidae
00166.jpg,0,Cicadellidae
00168.jpg,0,Cicadellidae
00169.jpg,0,Cicadellidae
00171.jpg,0,Cicadellidae
00172.jpg,0,Cicadellidae
00173.jpg,0,Cicadellidae
00174.jpg,0,Cicadellidae
00175.jpg,0,Cicadellidae
00180.jpg,0,Cicadellidae
00182.jpg,0,Cicadellidae
00183.jpg,0,Cicadellidae
00184.jpg,0,Cicadellidae
00185.jpg,0,Cicadellidae
00186.jpg,0,Cicadellidae
00187.jpg,0,Cicadellidae
00188.jpg,0,Cicadellidae
00189.jpg,0,Cicadellidae
00190.jpg,0,Cicadellidae
00191.jpg,0,Cicadellidae
00193.jpg,0,Cicadellidae
00194.jpg,0,Cicadellidae
00195.jpg,0,Cicadellidae
00196.jpg,0,Cicadellidae
00197.jpg,0,Cicadellidae
00201.jpg,0,Cicadellidae
00202.jpg,0,Cicadellidae
00203.jpg,0,Cicadellidae
00206.jpg,0,Cicadellidae
00208.jpg,0,Cicadellidae
00210.jpg,0,Cicadellidae
00212.jpg,0,Cicadellidae
00213.jpg,0,Cicadellidae
00214.jpg,0,Cicadellidae
00215.jpg,0,Cicadellidae
00216.jpg,0,Cicadellidae
00219.jpg,0,Cicadellidae
00220.jpg,0,Cicadellidae
00221.jpg,0,Cicadellidae
00222.jpg,0,Cicadellidae
00224.jpg,0,Cicadellidae
00227.jpg,0,Cicadellidae
00228.jpg,0,Cicadellidae
00229.jpg,0,Cicadellidae
00230.jpg,0,Cicadellidae
00231.jpg,0,Cicadellidae
00233.jpg,0,Cicadellidae
00234.jpg,0,Cicadellidae
00235.jpg,0,Cicadellidae
00239.jpg,0,Cicadellidae
00241.jpg,0,Cicadellidae
00242.jpg,0,Cicadellidae
00243.jpg,0,Cicadellidae
00244.jpg,0,Cicadellidae
00245.jpg,0,Cicadellidae
00246.jpg,0,Cicadellidae
00248.jpg,0,Cicadellidae
00249.jpg,0,Cicadellidae
00250.jpg,0,Cicadellidae
00252.jpg,0,Cicadellidae
00253.jpg,0,Cicadellidae
00254.jpg,0,Cicadellidae
00257.jpg,0,Cicadellidae
00258.jpg,0,Cicadellidae
00260.jpg,0,Cicadellidae
00262.jpg,0,Cicadellidae
00263.jpg,0,Cicadellidae
00267.jpg,0,Cicadellidae
00268.jpg,0,Cicadellidae
00269.jpg,0,Cicadellidae
00270.jpg,0,Cicadellidae
00271.jpg,0,Cicadellidae
00273.jpg,0,Cicadellidae
00275.jpg,0,Cicadellidae
00276.jpg,0,Cicadellidae
00278.jpg,0,Cicadellidae
00280.jpg,0,Cicadellidae
00281.jpg,0,Cicadellidae
00284.jpg,0,Cicadellidae
00285.jpg,0,Cicadellidae
00286.jpg,0,Cicadellidae
00289.jpg,0,Cicadellidae
00290.jpg,0,Cicadellidae
00291.jpg,0,Cicadellidae
00293.jpg,0,Cicadellidae
00294.jpg,0,Cicadellidae
00295.jpg,0,Cicadellidae
00297.jpg,0,Cicadellidae
00298.jpg,0,Cicadellidae
00299.jpg,0,Cicadellidae
00301.jpg,0,Cicadellidae
00302.jpg,0,Cicadellidae
00303.jpg,0,Cicadellidae
00304.jpg,0,Cicadellidae
00305.jpg,0,Cicadellidae
00306.jpg,0,Cicadellidae
00308.jpg,0,Cicadellidae
00313.jpg,0,Cicadellidae
00314.jpg,0,Cicadellidae
00315.jpg,0,Cicadellidae
00316.jpg,0,Cicadellidae
00319.jpg,0,Cicadellidae
00320.jpg,0,Cicadellidae
00321.jpg,0,Cicadellidae
00324.jpg,0,Cicadellidae
00327.jpg,0,Cicadellidae
00328.jpg,0,Cicadellidae
00329.jpg,0,Cicadellidae
00330.jpg,0,Cicadellidae
00332.jpg,0,Cicadellidae
00334.jpg,0,Cicadellidae
00335.jpg,0,Cicadellidae
00337.jpg,0,Cicadellidae
00338.jpg,0,Cicadellidae
00340.jpg,0,Cicadellidae
00344.jpg,0,Cicadellidae
00346.jpg,0,Cicadellidae
00347.jpg,0,Cicadellidae
00348.jpg,0,Cicadellidae
00353.jpg,0,Cicadellidae
