label,file,class_id
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
1_x0,AM General Hummer SUV 2000,1
1_x1,AM General Hummer SUV 2000,1
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
2_x0,Acura RL Sedan 2012,2
2_x1,Acura RL Sedan 2012,2
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
3_x0,Acura TL Sedan 2012,3
3_x1,Acura TL Sedan 2012,3
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
